latitude,longitude,halfAngle,target
7.0,8.0,26.0,0
-13.0,-80.0,20.0,0
15.0,-30.0,60.0,1
0.0,1.0,40.0,0
11.0,58.0,40.0,0
-30.0,97.0,40.0,0
8.0,96.0,45.0,0
20.0,-20.0,35.0,0
20.0,-10.0,30.0,0
-1.0,-13.0,35.0,0
-13.0,49.0,43.0,0
-10.0,50.0,38.0,0
-13.0,30.0,32.0,0
-13.0,125.0,35.0,0
16.0,-125.0,42.0,0
12.0,-101.0,39.0,0
23.0,117.0,35.0,0
36.0,123.0,27.0,0
-20.0,15.0,35.0,0
-18.0,-100.0,22.0,0
-23.0,17.0,30.0,0
15.0,-13.0,35.0,1
17.0,50.0,45.0,1
-8.0,-64.0,38.0,0
-40.0,81.0,35.0,0
17.0,75.0,37.0,0
-15.0,-150.0,30.0,0
20.0,130.0,70.0,0
7.0,-125.0,38.0,0
6.0,-115.0,66.0,0
8.0,60.0,22.0,0
-5.0,-20.0,38.0,0
20.0,60.0,35.0,0
-5.0,-105.0,23.0,0
18.0,-65.0,32.0,0
15.0,40.0,31.0,0
21.0,-68.0,58.0,0
-15.0,86.0,25.0,0
14.0,117.0,45.0,0
-5.0,-55.0,38.0,0
-5.0,-55.0,40.0,0
-5.0,-30.0,30.0,1
25.0,117.0,40.0,0
16.0,140.0,60.0,0
-25.0,52.0,46.0,0
15.0,158.0,60.0,0
5.0,-45.0,43.0,0
10.0,-145.0,30.0,0
4.0,15.0,35.0,0
15.0,30.0,44.0,1
14.0,40.0,60.0,1
-12.0,62.0,20.0,0
-25.0,-56.0,25.0,0
36.0,74.0,40.0,0
24.0,15.0,25.0,0
30.0,100.0,25.0,0
20.0,20.0,30.0,1
28.0,40.0,33.0,0
35.0,130.0,40.0,0
49.0,96.0,45.0,0
21.0,38.0,46.0,1
22.0,-48.0,56.0,0
20.0,-65.0,30.0,0
5.0,125.0,60.0,0
5.0,-90.0,70.0,0
-9.0,-50.0,20.0,0
12.0,-45.0,50.0,1
35.0,-25.0,35.0,0
-5.0,75.0,30.0,0
-26.0,139.0,40.0,0
0.0,-120.0,45.0,0
10.0,-6.0,28.0,0
35.0,-155.0,50.0,0
41.0,-163.0,34.0,0
30.0,60.0,25.0,0
50.0,25.0,46.0,1
52.0,90.0,55.0,0
-4.0,-75.0,25.0,0
10.0,31.0,37.0,0
23.0,-35.0,25.0,0
-7.0,-160.0,65.0,0
24.0,-35.0,38.0,0
19.0,119.0,35.0,0
-3.0,-110.0,70.0,0
3.0,-142.0,42.0,0
27.0,-118.0,49.0,0
3.0,-47.0,34.0,0
40.0,61.0,39.0,0
23.0,45.0,72.0,0
25.0,-50.0,35.0,0
-21.0,134.0,40.0,0
30.0,97.0,30.0,0
-9.0,94.0,25.0,0
-23.0,57.0,25.0,0
-17.0,-128.0,20.0,0
-10.0,20.0,35.0,0
21.0,0.0,30.0,0
20.0,88.0,30.0,0
8.0,142.0,45.0,0
-18.0,152.0,51.0,0
-17.0,99.0,50.0,0
42.0,-130.0,44.0,0
-38.0,-135.0,36.0,0
31.0,-102.0,45.0,0
28.0,-57.0,47.0,0
-23.0,22.0,30.0,0
46.0,-21.0,69.0,0
-20.0,65.0,28.0,0
38.0,139.0,29.0,0
41.0,26.0,62.0,1
-35.0,110.0,40.0,0
40.0,75.0,55.0,0
-30.0,-172.0,25.0,0
4.0,-19.0,36.0,0
22.0,-27.0,40.0,0
32.0,-12.0,55.0,0
11.0,140.0,41.0,0
18.0,-62.0,60.0,0
25.0,-48.0,60.0,0
22.0,-70.0,51.0,1
20.0,-10.0,35.0,0
30.0,-60.0,50.0,1
4.0,-23.0,65.0,1
8.0,25.0,60.0,0
10.0,46.0,22.0,1
22.0,5.0,55.0,1
25.0,43.0,60.0,1
