halfAngle,speed,target
26.0,620.0,1
30.0,500.0,0
20.0,570.0,1
23.0,625.0,0
20.0,290.0,0
21.0,350.0,0
48.0,750.0,0
48.0,760.0,0
60.0,1800.0,2
40.0,550.0,1
35.0,686.0,0
20.0,300.0,0
38.0,750.0,0
40.0,950.0,2
30.0,620.0,0
40.0,1091.0,1
30.0,780.0,0
28.0,1200.0,0
50.0,400.0,0
45.0,850.0,1
35.0,410.0,1
30.0,650.0,0
25.0,460.0,0
30.0,360.0,1
32.0,515.0,0
35.0,350.0,1
28.0,310.0,0
30.0,340.0,0
27.0,400.0,0
43.0,500.0,2
30.0,430.0,0
30.0,260.0,0
20.0,600.0,0
25.0,877.0,0
28.0,330.0,0
28.0,576.0,0
30.0,740.0,0
37.0,630.0,0
28.0,350.0,0
38.0,750.0,1
21.0,400.0,0
15.0,480.0,0
32.0,305.0,1
28.0,500.0,0
35.0,300.0,0
20.0,350.0,0
25.0,330.0,0
35.0,650.0,1
42.0,680.0,1
39.0,650.0,1
39.0,350.0,0
35.0,564.0,1
25.0,510.0,0
27.0,380.0,1
35.0,920.0,1
30.0,560.0,0
22.0,900.0,1
30.0,580.0,0
30.0,400.0,1
40.0,540.0,0
25.0,400.0,0
35.0,710.0,2
45.0,1980.0,3
38.0,840.0,1
35.0,550.0,1
31.0,700.0,0
38.0,360.0,0
37.0,690.0,1
30.0,900.0,1
70.0,1000.0,5
38.0,1005.0,1
20.0,990.0,0
30.0,500.0,0
66.0,1320.0,2
26.0,730.0,0
22.0,950.0,1
38.0,550.0,1
39.0,990.0,0
33.0,580.0,0
20.0,450.0,0
35.0,550.0,1
45.0,300.0,0
30.0,1355.0,0
25.0,455.0,0
20.0,950.0,0
30.0,640.0,0
23.0,270.0,1
32.0,580.0,1
31.0,620.0,1
69.0,850.0,0
58.0,1300.0,1
33.0,350.0,0
25.0,760.0,1
20.0,611.0,0
45.0,610.0,1
38.0,850.0,1
40.0,915.0,1
30.0,950.0,1
40.0,1050.0,3
60.0,2500.0,1
50.0,760.0,0
35.0,750.0,0
46.0,1400.0,1
60.0,1500.0,1
40.0,320.0,0
43.0,830.0,0
43.0,830.0,2
24.0,583.0,0
30.0,560.0,1
40.0,1000.0,0
35.0,350.0,0
30.0,330.0,0
25.0,490.0,0
33.0,850.0,0
24.0,838.0,0
26.0,608.0,0
28.0,640.0,0
32.0,320.0,0
43.0,660.0,0
39.0,616.0,0
34.0,440.0,0
35.0,900.0,1
44.0,1320.0,1
60.0,1950.0,4
32.0,430.0,0
20.0,850.0,0
20.0,1175.0,3
40.0,600.0,0
35.0,410.0,0
18.0,300.0,0
30.0,800.0,0
30.0,992.0,0
25.0,595.0,1
40.0,1000.0,0
15.0,260.0,0
25.0,390.0,0
30.0,360.0,0
40.0,606.0,1
25.0,300.0,1
25.0,670.0,2
30.0,650.0,2
45.0,632.0,0
23.0,621.0,0
33.0,750.0,0
40.0,1040.0,1
30.0,420.0,0
29.0,603.0,0
42.0,899.0,0
26.0,713.0,0
45.0,680.0,1
46.0,600.0,1
24.0,520.0,0
25.0,630.0,0
40.0,355.0,0
56.0,720.0,1
30.0,640.0,0
30.0,620.0,1
32.0,458.0,0
60.0,1500.0,2
70.0,1000.0,2
70.0,1150.0,1
24.0,637.0,0
20.0,634.0,1
50.0,1507.0,1
35.0,700.0,1
20.0,500.0,0
30.0,681.0,0
30.0,400.0,1
34.0,540.0,0
40.0,650.0,1
45.0,1500.0,1
23.0,330.0,0
25.0,335.0,0
28.0,500.0,1
50.0,1370.0,3
23.0,350.0,0
30.0,450.0,0
36.0,330.0,0
33.0,509.0,0
34.0,460.0,1
54.0,700.0,1
30.0,650.0,0
20.0,544.0,0
20.0,543.0,0
25.0,537.0,1
33.0,380.0,0
36.0,340.0,0
30.0,374.0,0
29.0,276.0,0
25.0,294.0,0
46.0,590.0,1
55.0,990.0,2
25.0,380.0,1
37.0,470.0,1
25.0,730.0,1
30.0,320.0,0
45.0,350.0,0
20.0,500.0,0
37.0,400.0,0
65.0,1100.0,3
60.0,560.0,0
30.0,330.0,0
26.0,680.0,0
35.0,560.0,0
38.0,1150.0,1
20.0,299.0,0
35.0,550.0,1
30.0,800.0,0
70.0,695.0,1
60.0,888.0,0
30.0,675.0,0
30.0,344.0,0
